City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Port-Gentil,GA,-0.7193,8.7815,81.25,77,17,8.7,light rain
70,Saint-Philippe,RE,-21.3585,55.7679,80.19,93,100,30.6,moderate rain
71,Fallon,US,39.4735,-118.7774,32.92,46,20,6.91,few clouds
72,Nanortalik,GL,60.1432,-45.2371,7.02,76,5,13.82,clear sky
73,Scarborough,GB,54.2797,-0.4044,51.08,87,100,5.99,overcast clouds
74,Rocha,UY,-34.4833,-54.3333,88.84,30,2,6.96,clear sky
75,Torbay,CA,47.6666,-52.7314,31.48,78,40,5.75,scattered clouds
76,Bredasdorp,ZA,-34.5322,20.0403,72.72,68,37,12.66,scattered clouds
77,Gorom-Gorom,BF,14.4439,-0.2361,77.83,10,7,7.87,clear sky
78,Jamestown,US,42.097,-79.2353,42.53,48,40,12.66,scattered clouds
79,Abu Zabad,SD,12.35,29.25,78.35,17,15,8.59,few clouds
80,Faya,SA,18.3851,42.4509,59.52,71,19,3.33,few clouds
81,Kieta,PG,-6.2167,155.6333,79.92,82,100,8.55,light rain
82,Mar Del Plata,AR,-38.0023,-57.5575,89.62,50,0,11.99,clear sky
83,Kapaa,US,22.0752,-159.319,66.52,94,75,4.61,broken clouds
84,Sorland,NO,67.667,12.6934,28.26,54,100,19.48,overcast clouds
85,Erzurum,TR,40,41.5,13.96,92,100,4.05,overcast clouds
86,Saskylakh,RU,71.9167,114.0833,-29.22,100,50,3,scattered clouds
87,Haines Junction,CA,60.7522,-137.5108,-13.05,77,100,2.3,overcast clouds
88,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.39,86,100,16.11,overcast clouds
89,Mahebourg,MU,-20.4081,57.7,80.26,94,75,27.63,light intensity shower rain
90,Nalut,LY,30.3333,10.85,48.74,39,2,12.41,clear sky
91,Alice Springs,AU,-23.7,133.8833,65.75,88,100,6.91,overcast clouds
92,Norman Wells,CA,65.282,-126.8329,-20.65,98,97,6.35,overcast clouds
93,Luau,AO,-10.7073,22.2247,67.44,95,86,3.6,overcast clouds
94,Tonder,DK,54.9331,8.8667,41.25,86,87,1.99,overcast clouds
95,Saryozek,KZ,44.3583,77.9753,19.11,82,79,4.23,broken clouds
96,Kochevo,RU,59.5994,54.3125,24.26,92,91,7.99,overcast clouds
97,Beloha,MG,-25.1667,45.05,74.32,72,0,21.72,clear sky
98,San Luis,AR,-33.295,-66.3356,71.13,58,99,11.1,light rain
