City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,San Patricio,US,2022-01-31 23:19:43,28.017,-97.5169,72.28,84,97,6.24
59,Thompson,CA,2022-01-31 23:18:51,55.7435,-97.8558,1.56,78,100,6.91
60,Aneho,TG,2022-01-31 23:19:44,6.2333,1.6,77.65,72,99,9.26
61,Havelock,US,2022-01-31 23:19:45,34.8791,-76.9013,46.94,60,79,6.55
62,Rikitea,PF,2022-01-31 23:19:45,-23.1203,-134.9692,77.7,66,68,3.69
63,Kahului,US,2022-01-31 23:19:46,20.8947,-156.47,79.86,68,40,16.11
64,Suraabad,AZ,2022-01-31 23:19:46,40.8192,49.4687,37.58,66,2,5.53
65,Kipini,KE,2022-01-31 23:19:47,-2.5257,40.5262,79.09,86,81,9.08
66,Iqaluit,CA,2022-01-31 23:19:47,63.7506,-68.5145,-29.31,66,20,3.0
67,Bluff,NZ,2022-01-31 23:19:48,-46.6,168.3333,75.79,79,28,2.06
68,Mankono,CI,2022-01-31 23:19:49,8.0586,-6.1897,75.96,15,9,3.11
69,Mahajanga,MG,2022-01-31 23:19:49,-15.7167,46.3167,78.82,94,20,3.44
70,Isangel,VU,2022-01-31 23:19:49,-19.55,169.2667,82.51,89,100,5.75
71,Maryborough,AU,2022-01-31 23:19:50,-25.5333,152.7,86.32,56,24,4.94
72,Sharan,RU,2022-01-31 23:19:51,54.8167,54.0,28.2,95,100,16.91
73,Qaanaaq,GL,2022-01-31 23:19:51,77.484,-69.3632,-22.59,51,0,10.22
74,Bakani,IN,2022-01-31 23:19:52,24.2833,76.2333,60.08,55,0,4.29
75,Sinnamary,GF,2022-01-31 23:19:52,5.3833,-52.95,76.8,86,100,10.11
76,Kruisfontein,ZA,2022-01-31 23:19:53,-34.0033,24.7314,70.88,95,100,4.59
77,Mahebourg,MU,2022-01-31 23:19:20,-20.4081,57.7,80.26,78,75,14.97
78,Gornopravdinsk,RU,2022-01-31 23:19:54,60.05,69.9,5.99,97,100,3.49
79,Havre-Saint-Pierre,CA,2022-01-31 23:19:54,50.2334,-63.5986,12.79,72,100,13.8
80,Rocha,UY,2022-01-31 23:19:20,-34.4833,-54.3333,62.06,63,12,8.34
81,Pochutla,MX,2022-01-31 23:19:55,15.7432,-96.4661,83.25,55,6,12.08
82,Cabo San Lucas,MX,2022-01-31 23:19:56,22.8909,-109.9124,77.61,58,0,5.01
83,Hilo,US,2022-01-31 23:19:56,19.7297,-155.09,80.33,60,20,11.5
84,Fort Nelson,CA,2022-01-31 23:19:57,58.8053,-122.7002,-0.81,78,75,2.3
85,Kavaratti,IN,2022-01-31 23:18:01,10.5669,72.642,80.17,73,1,10.96
86,Adrar,MR,2022-01-31 23:19:57,20.5022,-10.0711,73.58,14,100,10.74
87,Taraza,CO,2022-01-31 23:19:58,7.5836,-75.4007,77.34,82,20,2.91
88,Hare Bay,CA,2022-01-31 23:20:59,48.8499,-54.0148,27.75,67,58,9.82
89,Nemencine,LT,2022-01-31 23:20:59,54.85,25.4833,25.32,94,99,10.65
90,Honningsvag,NO,2022-01-31 23:21:00,70.9821,25.9704,29.7,74,100,13.22
91,Ushuaia,AR,2022-01-31 23:21:00,-54.8,-68.3,42.46,87,40,24.16
92,Georgetown,MY,2022-01-31 23:21:01,5.4112,100.3354,79.9,86,20,1.01
93,Sabang,ID,2022-01-31 23:21:01,5.8933,95.3214,81.61,75,98,11.25
94,Lebu,CL,2022-01-31 23:21:02,-37.6167,-73.65,59.4,72,0,17.98
95,Klaksvik,FO,2022-01-31 23:21:02,62.2266,-6.589,47.32,87,100,34.92
96,Gaoua,BF,2022-01-31 23:21:03,10.2992,-3.2508,76.15,13,14,5.17
97,Garden City,US,2022-01-31 23:21:03,42.3256,-83.331,27.66,67,40,5.75
98,Nikki,BJ,2022-01-31 23:21:04,9.9401,3.2108,73.99,12,90,8.3
99,Noumea,NC,2022-01-31 23:21:04,-22.2763,166.4572,82.38,74,100,5.01
100,Norman Wells,CA,2022-01-31 23:21:05,65.282,-126.8329,5.04,72,100,11.5
101,Teknaf,BD,2022-01-31 23:21:05,20.8624,92.3058,58.55,65,65,6.53
102,Suntar,RU,2022-01-31 23:21:06,62.1444,117.6319,-13.49,100,97,2.71
103,Golden,US,2022-01-31 23:19:45,39.7555,-105.2211,56.89,16,20,19.57
104,Yumen,CN,2022-01-31 23:21:06,40.2833,97.2,14.74,30,97,5.66
105,Cherskiy,RU,2022-01-31 23:21:07,68.75,161.3,-11.0,92,100,4.54
106,Berlevag,NO,2022-01-31 23:21:07,70.8578,29.0864,23.31,80,95,9.01
107,Ilulissat,GL,2022-01-31 23:21:08,69.2167,-51.1,8.62,66,40,13.8
108,Sao Filipe,CV,2022-01-31 23:21:08,14.8961,-24.4956,74.46,70,100,7.74
109,Shenjiamen,CN,2022-01-31 23:16:45,29.9576,122.298,42.26,63,96,7.67
110,Lady Frere,ZA,2022-01-31 23:21:09,-31.7031,27.2329,67.71,80,100,5.01
111,Deputatskiy,RU,2022-01-31 23:21:10,69.3,139.9,-26.52,100,58,3.38
112,Cabadiangan,PH,2022-01-31 23:21:10,9.7531,122.4739,76.44,87,98,4.72
113,Raudeberg,NO,2022-01-31 23:21:11,61.9875,5.1352,30.87,87,100,3.0
114,Chegutu,ZW,2022-01-31 23:21:12,-18.1302,30.1407,62.53,92,35,4.41
115,Rawson,AR,2022-01-31 23:21:12,-43.3002,-65.1023,77.94,22,49,11.61
116,Uzventis,LT,2022-01-31 23:21:13,55.7803,22.6547,24.87,91,66,9.57
117,Arraial Do Cabo,BR,2022-01-31 23:21:13,-22.9661,-42.0278,75.16,94,75,3.44
118,Pevek,RU,2022-01-31 23:21:14,69.7008,170.3133,-14.94,95,100,1.23
119,Bredasdorp,ZA,2022-01-31 23:21:14,-34.5322,20.0403,73.27,88,63,4.61
120,Ribeira Grande,PT,2022-01-31 23:21:15,38.5167,-28.7,60.01,74,15,15.14
121,Tuatapere,NZ,2022-01-31 23:21:16,-46.1333,167.6833,75.81,54,69,0.4
122,Severo-Yeniseyskiy,RU,2022-01-31 23:21:16,60.3725,93.0408,-8.07,98,90,4.16
123,Port Alfred,ZA,2022-01-31 23:18:04,-33.5906,26.891,75.22,95,100,5.48
